procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 128453248  92020 2186800    0    0     1     1    3    3  0  0 100  0  0
 1  0      0 128280736  92020 2186808    0    0     0     0  984  453  3  0 97  0  0
 1  0      0 128232096  92020 2186808    0    0     0     0  514  336  2  0 98  0  0
 1  0      0 128135400  92028 2186864    0    0     0   192  773  617  2  0 98  0  0
 1  0      0 128089728  92028 2186836    0    0     0    60  500  356  2  0 98  0  0
 2  0      0 127949144  92028 2186848    0    0     0     0  803  460  3  0 97  0  0
 2  0      0 127781312  92028 2186848    0    0     0     0 1313  438  5  0 95  0  0
 2  0      0 127638176  92028 2186848    0    0     0    68 1288  440  5  0 95  0  0
 2  0      0 127504928  92036 2186852    0    0     0   192 1120  601  3  0 97  0  0
 2  0      0 127454480  92036 2186892    0    0     0    32 1140  585  3  0 96  0  0
 1  0      0 127394256  92036 2186912    0    0     0     0  736  473  2  0 98  0  0
 9  0      0 127232528  92036 2186920    0    0     0     8 1164  444  4  0 96  0  0
 3  0      0 127090408  92036 2186920    0    0     0     0 1245  940  4  0 95  0  0
 3  0      0 126737856  92036 2186928    0    0     0   184 1617  866  6  1 93  0  0
 3  0      0 126652000  92044 2186932    0    0     0    96 1328  388  5  0 95  0  0
 2  0      0 126513888  92048 2186984    0    0     0    32 1489  597  5  0 95  0  0
 2  0      0 126423344  92068 2187076    0    0     0    16 1324  785  3  0 96  0  0
 4  0      0 126179664  92068 2186964    0    0     0     0 1288 1158  4  0 95  0  0
 2  1      0 125648648  92104 2250728    0    0 55932     0 2963  923  7  1 92  0  0
 2  2      0 125211472  92116 2620348    0    0 368904   144 2240 2431  4  2 93  2  0
 5  0      0 124777568  92116 2964704    0    0 343872    36 2650 3526  3  1 93  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 124394992  92116 3312048    0    0 345892    68 2439 3206  3  1 93  2  0
 0  2      0 123978744  92116 3672012    0    0 359140     0 2146 2974  1  1 95  2  0
 2  0      0 123647600  92116 4036788    0    0 364524     0 1519 2383  0  1 96  2  0
 0  2      0 123219152  92116 4402860    0    0 364380   204 1797 2788  0  1 96  2  0
 0  2      0 122836544  92132 4768772    0    0 365152   320 1772 2927  0  1 96  2  0
 2  0      0 122501824  92132 5153188    0    0 383712     8 1995 3608  0  1 96  2  0
 0  2      0 122073856  92132 5534492    0    0 380312    56 1452 2271  0  2 96  2  0
 0  2      0 121771120  92132 5906916    0    0 371748     0 1859 3001  0  1 96  2  0
 0  2      0 121324496  92132 6295404    0    0 387304     0 1758 2881  0  2 96  2  0
 2  0      0 120977848  92132 6683608    0    0 387324    20 1668 2915  0  1 96  2  0
 0  2      0 120575032  92136 7057044    0    0 372604    64 1769 2930  0  2 96  2  0
 2  0      0 119908352  92136 7387448    0    0 329668     8 1494 2377  0  2 96  2  0
 9  0      0 115442584  92136 7387448    0    0     0     0 2261 1430  6  6 88  0  0
14  0      0 110256424  92136 7387448    0    0     0    56 2581 1625  8  6 86  0  0
 6  0      0 104852032  92136 7387448    0    0     0     0 2534 1537  7  6 86  0  0
13  0      0 99501568  92140 7387448    0    0     0    64 2610 1593  7  6 86  0  0
 2  0      0 100424376  92140 7395196    0    0     4     0 7033 1239  2  3 95  0  0
 2  0      0 106972544  92140 7395644    0    0     0    12 1144  626  3  1 96  0  0
 2  0      0 113294688  92140 7407712    0    0  4352     0  792  368  3  1 96  0  0
 2  0      0 113561816  92140 7420564    0    0  5120     0  880  366  3  0 96  0  0
 2  0      0 113561568  92144 7420564    0    0     0    32  818  363  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 113560896  92144 7420564    0    0     0     0  852  276  4  0 96  0  0
 2  0      0 113557280  92144 7420568    0    0     0    56  796  248  4  0 96  0  0
 2  0      0 113555712  92144 7420568    0    0     0    12  774  262  4  0 96  0  0
 2  0      0 113553448  92144 7420568    0    0     0     0  945  628  4  0 96  0  0
 2  0      0 113553448  92148 7420568    0    0     0    48  789  259  4  0 96  0  0
 2  0      0 113553448  92148 7420568    0    0     0    16  848  257  4  0 96  0  0
 2  0      0 113553448  92148 7420568    0    0     0     0  790  247  4  0 96  0  0
 2  0      0 113553448  92148 7420568    0    0     0     0  899  346  4  0 96  0  0
 2  0      0 113581280  92148 7420564    0    0     0     8  819  266  3  0 96  0  0
 1  0      0 121563952  92156 7389188    0    0     0    72 2334  816  2  1 97  0  0
 0  0      0 121833736  92160 7388740    0    0     4   152  305  365  0  0 100  0  0
 1  0      0 121848288  92160 7388752    0    0     0     0  366  294  1  0 99  0  0
 1  0      0 122553920  92160 7388728    0    0     0     0 1031  605  3  0 97  0  0
