procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 104603088 106068 26041808    0    0     0     3    1    0  0  0 100  0  0
 1  0      0 104431520 106068 26041816    0    0     0   272 2123 1444  5  0 95  0  0
 1  0      0 104383664 106068 26041816    0    0     0     0  461  393  2  0 98  0  0
 1  0      0 104330576 106068 26041820    0    0     0    72  526  354  2  0 98  0  0
 1  0      0 104237880 106068 26041836    0    0     0     0  575  509  1  0 98  0  0
 1  0      0 103905192 106068 26041840    0    0     0     0  505  368  1  0 98  0  0
 1  0      0 103878232 106068 26041848    0    0     0   260  888 1306  2  0 98  0  0
 1  0      0 103395056 106068 26158040    0    0     0   244 3121 1479  2  1 97  0  0
 5  0      0 102831744 106068 26186628    0    0     0    20 14247 15924  1  2 97  0  0
 4  0      0 102296504 106068 26366424    0    0  1460     0 16256 10837  2  1 96  0  0
 3  0      0 102254944 106068 26366540    0    0     0    12 1895 19048  4  0 96  0  0
 4  0      0 102253584 106068 26366080    0    0     0   104 2130 20336  4  0 96  0  0
 2  0      0 102253208 106068 26366600    0    0     0     0 1893 18401  4  0 96  0  0
 1  0      0 102235688 106068 26385368    0    0     0   140 2005 17041  4  0 96  0  0
 2  0      0 102251120 106068 26370488    0    0     0     8 2033 19735  4  0 96  0  0
 2  0      0 102255256 106068 26366548    0    0     0     0 2014 19357  4  0 96  0  0
 4  0      0 102254904 106068 26366704    0    0     0     0 1967 19719  4  0 96  0  0
 2  0      0 102254936 106068 26366596    0    0     0     0 1824 17075  4  0 96  0  0
 4  0      0 102254080 106068 26367152    0    0     0    76 1977 18371  4  0 96  0  0
 1  0      0 102233120 106068 26385468    0    0     0     0 1940 19195  4  0 96  0  0
 2  0      0 102251536 106068 26366188    0    0     0     8 1996 19416  4  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
