procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 95939728 107264 34679304    0    0     0     3    1    1  0  0 100  0  0
 1  0      0 95767216 108764 34679320    0    0  1496     0 1480 1397  3  0 97  0  0
 1  0      0 95716568 109656 34679332    0    0   892     0 1010 1293  2  0 98  0  0
 1  0      0 95624600 109904 34679408    0    0   248  1880 1271 1610  1  0 98  0  0
 1  0      0 95574800 110668 34679176    0    0   764    76  541  433  2  0 98  0  0
 2  0      0 95440992 110924 34679360    0    0   256     0  687  381  2  0 97  0  0
 2  0      0 95331616 111684 34679532    0    0   760     0 1377  454  5  0 95  0  0
 2  0      0 95126992 111684 34679532    0    0     0     0 1117  370  5  0 95  0  0
 2  0      0 94993200 111684 34679568    0    0     0     0 1096  575  3  0 97  0  0
 2  0      0 94945928 111688 34679912    0    0     0  3076 1225  597  3  0 96  0  0
 1  0      0 94875632 111688 34679908    0    0     0     0  741  470  2  0 98  0  0
 1  0      0 94717376 111688 34679916    0    0     0     4  710  428  3  0 97  0  0
 3  0      0 94594912 111688 34679948    0    0     0     0 1373  502  6  0 94  0  0
 3  0      0 94239416 111688 34679984    0    0     0     0 1762 1694  6  0 93  0  0
 3  0      0 94133920 111688 34679984    0    0     0   168 1221  353  5  0 95  0  0
 3  0      0 94027496 111688 34680048    0    0     0    12 1388  730  5  0 95  0  0
 2  0      0 93907984 111688 34680036    0    0     0    16 1374  824  3  0 96  0  0
 4  0      0 93764096 111700 34680052    0    0     0     4 1144 1084  4  0 96  0  0
 3  0      0 93271264 111700 34687796    0    0     0     0 2244  856  6  1 93  0  0
 4  0      0 93150064 111700 34688260    0    0     0   492 2034  739  4  3 93  0  0
 4  0      0 93059952 111700 34688268    0    0     0    24 1649  588  3  4 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 92964696 111700 34688268    0    0     0     0 1874  856  3  4 93  0  0
15  0      0 90067488 111700 34688268    0    0     0     0 2463 1265  8  4 88  0  0
 9  0      0 85421704 111700 34688308    0    0     0     4 2527 1947  8  5 86  0  0
16  0      0 80364064 111700 34688308    0    0     0    68 2632 1784  7  6 87  0  0
16  0      0 74764120 111700 34688308    0    0     0    16 2359 1384  7  7 86  0  0
 2  0      0 73054112 111700 34688308    0    0     0  4284 2118 1143  5  5 90  0  0
 2  0      0 77595712 111700 34696500    0    0     0     0 1279  635  2  1 97  0  0
 2  0      0 84156688 111700 34696500    0    0     0     0  967  410  3  1 96  0  0
 2  0      0 86192960 111700 34711884    0    0    40    28 1011  418  3  0 96  0  0
 2  0      0 86192736 111700 34711924    0    0     0     0  970  246  4  0 96  0  0
 2  0      0 86192064 111700 34711924    0    0     0    12  942  261  4  0 96  0  0
 2  0      0 86189360 111700 34711924    0    0     0     0  926  364  4  0 96  0  0
 2  0      0 86187568 111700 34711924    0    0     0     0 1038  303  4  0 96  0  0
 2  0      0 86185104 111700 34711924    0    0     0    16  906  530  4  0 96  0  0
 2  0      0 86184848 111700 34711924    0    0     0     0 1142  287  4  0 96  0  0
 2  0      0 86184848 111700 34711924    0    0     0     0 1188  420  4  0 96  0  0
 2  0      0 86184600 111700 34711924    0    0     0     8 1055  324  4  0 96  0  0
 2  0      0 86184600 111700 34711924    0    0     0     0  966  271  4  0 96  0  0
 2  0      0 86196704 111700 34711924    0    0     0    36 1024  334  3  0 96  0  0
 2  0      0 93550536 111700 34696020    0    0     0     0 1818  693  3  1 96  0  0
 0  0      0 94520184 111700 34680120    0    0     0     4 1084  560  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 94533744 111700 34680120    0    0     0   224  261  229  1  0 99  0  0
 1  0      0 95240496 111700 34680084    0    0     0     0 1026  597  3  0 97  0  0
