index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 87 %, 39 %, 7813 MiB
1, 94 %, 40 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 47 %, 7815 MiB
1, 96 %, 46 %, 7813 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 50 %, 7815 MiB
1, 88 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 45 %, 7815 MiB
1, 96 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 50 %, 7815 MiB
1, 92 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 91 %, 42 %, 7815 MiB
1, 92 %, 42 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 49 %, 7815 MiB
1, 95 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 43 %, 7815 MiB
1, 93 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 49 %, 7815 MiB
1, 96 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 46 %, 7815 MiB
1, 93 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7815 MiB
1, 95 %, 45 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 94 %, 50 %, 7815 MiB
1, 94 %, 50 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7815 MiB
1, 95 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7815 MiB
1, 94 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 96 %, 42 %, 7815 MiB
1, 96 %, 43 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7815 MiB
1, 94 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 46 %, 7815 MiB
1, 96 %, 44 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 49 %, 7815 MiB
1, 92 %, 47 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 89 %, 42 %, 7815 MiB
1, 93 %, 40 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 44 %, 7815 MiB
1, 96 %, 46 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7815 MiB
1, 94 %, 49 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 95 %, 42 %, 7815 MiB
1, 96 %, 42 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 93 %, 51 %, 7815 MiB
1, 93 %, 51 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 97 %, 45 %, 7815 MiB
1, 97 %, 47 %, 7815 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 92 %, 50 %, 7815 MiB
