procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 116844432  93676 13776864    0    0     7     1    4   11  0  0 100  0  0
 1  0      0 116673408  93676 13776872    0    0     0     0 2023 1399  5  0 95  0  0
 0  0      0 116625272  93676 13776872    0    0     0     0  913 1340  2  0 98  0  0
 1  0      0 116484936  93688 13776652    0    0     0   256 1550 1797  1  0 98  0  0
 1  0      0 116435408  93688 13776652    0    0     0   184  534  445  2  0 98  0  0
 2  0      0 116298064  93688 13776652    0    0     0     0  742  331  3  0 97  0  0
 2  0      0 116130992  93688 13776652    0    0     0     0 1624  518  7  0 93  0  0
 2  0      0 115982816  93688 13776652    0    0     0     0 1635  522  7  0 93  0  0
 2  0      0 115891216  93700 13776648    0    0     0   200 1149  621  3  0 97  0  0
 2  0      0 115845496  93700 13776404    0    0     0     8 1239  483  3  0 96  0  0
 1  0      0 115759904  93700 13776420    0    0     0     0  970  597  2  0 98  0  0
17  0      0 115594368  93700 13776432    0    0     0    68 1736  602  6  0 94  0  0
 5  0      0 115382704  93700 13776432    0    0     0     0 1591 2358  6  0 93  0  0
 5  0      0 114751504  93704 13776432    0    0     0    84 2510 1567 12  1 87  0  0
 5  0      0 114592048  93704 13776432    0    0     0    84 1747  423  8  1 91  0  0
 5  0      0 114374368  93704 13776448    0    0     0    16 2181  944  8  1 91  0  0
 4  0      0 114147080  93704 13777168    0    0     0    32 2244 1298  7  1 92  0  0
 8  0      0 113920040  93712 13777172    0    0     0     0 1678  498  8  1 92  0  0
 8  0      0 112996288  93744 13778128    0    0  1372   160 4290 1376 15  2 82  0  0
 9  0      0 111636744  93760 14157476    0    0 353660     0 3938 2855  8  3 87  1  0
 5  4      0 111572472  93764 14533884    0    0 376120     0 3296 4265  7  4 86  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  3      0 111016640  93764 14906052    0    0 370284     0 3169 4967  7  3 86  5  0
 0  4      0 110391504  93764 15269612    0    0 363720   172 3746 5246  6  4 86  5  0
 0  4      0 110110336  93764 15638228    0    0 368172     0 2118 5772  0  2 93  5  0
 1  3      0 109683056  93764 15986084    0    0 345968   180 1898 4889  0  2 93  4  0
 0  4      0 109407424  93764 16328104    0    0 342480     0 1739 5339  0  1 94  5  0
27  0      0 105377496  93764 16378704    0    0 49588   144 3768 4494 12  7 80  1  0
17  0      0 100191584  93764 16378704    0    0     0     0 5146 6003 22  6 72  0  0
36  0      0 94958560  93764 16378704    0    0     0    20 5171 5937 22  6 72  0  0
17  0      0 89657008  93764 16378928    0    0     0    68 5038 5846 21  6 73  0  0
 4  0      0 92253624  93764 16378936    0    0     4     0 2944 3240  7  5 88  0  0
 4  0      0 99051792  93764 16387152    0    0     0     0 2141  924  5  2 93  0  0
 4  0      0 104722424  93764 16420888    0    0  3344     0 1560  615  6  1 93  0  0
 4  0      0 104721504  93764 16421344    0    0     0    48 1390 1921  7  0 93  0  0
 4  0      0 104720560  93764 16421336    0    0     0    16 1426  480  7  0 93  0  0
 4  0      0 108689056  93764 16405824    0    0     0     0 2898 1249  7  1 92  0  0
 0  0      0 112794208  93764 16357472    0    0     0     0 3642 1601  4  2 94  0  0
 1  0      0 112805824  93764 16357472    0    0     0     0  256  209  1  0 99  0  0
 1  0      0 113707904  93768 16357424    0    0     0   144 1721  779  3  1 97  0  0
