procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 95973792 106660 34671684    0    0     0     3    1    1  0  0 100  0  0
 1  0      0 95800288 106660 34671692    0    0     0     0 1470 1431  3  0 97  0  0
 0  0      0 95752928 106660 34671692    0    0     0    52 1014 1327  2  0 98  0  0
 1  0      0 95657392 106660 34671776    0    0     0   252 1274 1603  1  0 98  0  0
 1  0      0 95609872 106660 34671824    0    0     0     0  510  347  2  0 98  0  0
 2  0      0 95470280 106660 34671816    0    0     0     4  742  447  3  0 97  0  0
 2  0      0 95303976 106660 34671816    0    0     0     0 1214  439  5  0 95  0  0
 2  0      0 95152432 106660 34671816    0    0     0     0 1216  401  5  0 95  0  0
 2  0      0 95018832 106660 34671812    0    0     0   172 1005  555  3  0 97  0  0
 2  0      0 94971024 106660 34671916    0    0     0     8 1031  569  3  0 96  0  0
 1  0      0 94914088 106660 34671924    0    0     0     0  742  477  2  0 98  0  0
 9  0      0 94752304 106660 34671944    0    0     0     8 1088  442  4  0 96  0  0
 4  0      0 94607952 106660 34671944    0    0     0     0 1302  994  5  0 95  0  0
 3  0      0 94261200 106660 34671948    0    0     0     0 1547  843  6  0 93  0  0
 3  0      0 94170048 106660 34671948    0    0     0    88 1308  387  5  0 95  0  0
 3  0      0 94058544 106660 34671960    0    0     0     8 1355  518  5  0 95  0  0
 2  0      0 93938400 106660 34671808    0    0     0    16 1500  818  3  0 96  0  0
 4  0      0 93710848 106660 34671824    0    0     0     0 1270  957  4  0 95  0  0
 4  0      0 93178816 106660 34680016    0    0     0     0 2260  836  7  1 92  0  0
 4  0      0 93107864 106660 34680016    0    0     0   132 2060  714  4  4 93  0  0
 4  0      0 93002624 106660 34680020    0    0     0     0 1706  536  3  4 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 93050704 106660 34680024    0    0     0     0 2054  579  4  4 93  0  0
16  0      0 89603792 106660 34680024    0    0     0     0 3339 1397  8  5 87  0  0
12  0      0 84535600 106660 34680068    0    0     0     0 2500 1779  7  6 86  0  0
16  0      0 79208064 106660 34680068    0    0     0   104 2448 1474  7  6 86  0  0
12  0      0 74041808 106660 34680068    0    0     0     0 2542 1778  8  6 86  0  0
 2  0      0 73031952 106660 34680068    0    0     0     4 1816 1319  4  4 92  0  0
 2  0      0 77631040 106660 34688260    0    0     0     0 1088  611  2  1 96  0  0
 2  0      0 83968736 106660 34688260    0    0     0     0  800  477  3  1 96  0  0
 2  0      0 86203696 106660 34705624    0    0  1996   380  992  601  3  0 96  0  0
 2  0      0 86203224 106660 34705624    0    0     0     0  844  244  4  0 96  0  0
 2  0      0 86202104 106660 34705624    0    0     0    76  771  286  4  0 96  0  0
 2  0      0 86200760 106660 34705624    0    0     0     0  886  306  4  0 96  0  0
 2  0      0 86196904 106660 34705624    0    0     0     0  816  376  4  0 96  0  0
 2  0      0 86193600 106660 34705624    0    0   264   320 1066  721  4  0 96  0  0
 2  0      0 86193600 106660 34705888    0    0     0     0  723  267  4  0 96  0  0
 2  0      0 86193600 106660 34705888    0    0     0     8  899  308  4  0 96  0  0
 2  0      0 86193600 106660 34705892    0    0     0     0  832  382  4  0 96  0  0
 2  0      0 86193600 106660 34705892    0    0     0     0  846  257  4  0 96  0  0
 2  0      0 86193600 106660 34705892    0    0     0    48  774  267  4  0 96  0  0
 2  0      0 93817920 106660 34674912    0    0     0     0 1929  670  3  1 96  0  0
 0  0      0 94548192 106660 34673996    0    0     0    12  969  533  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 94569048 106660 34673996    0    0     0     0  312  190  1  0 99  0  0
 1  0      0 95485376 106660 34673968    0    0     0     0 1149  669  2  1 97  0  0
