index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 0 MiB
1, 0 %, 0 %, 0 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 3 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 0 %, 0 %, 303 MiB
1, 0 %, 0 %, 3 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 2 %, 0 %, 559 MiB
1, 10 %, 0 %, 533 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 25 %, 15 %, 5121 MiB
1, 23 %, 12 %, 5099 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 50 %, 26 %, 5147 MiB
1, 64 %, 32 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 70 %, 37 %, 5147 MiB
1, 66 %, 35 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 66 %, 34 %, 5147 MiB
1, 51 %, 30 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 47 %, 26 %, 5147 MiB
1, 31 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 32 %, 18 %, 5147 MiB
1, 53 %, 27 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 56 %, 29 %, 5147 MiB
1, 69 %, 36 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 70 %, 37 %, 5147 MiB
1, 64 %, 34 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 73 %, 35 %, 5147 MiB
1, 55 %, 33 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 71 %, 37 %, 5147 MiB
1, 63 %, 34 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 74 %, 35 %, 5147 MiB
1, 55 %, 32 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 31 %, 5147 MiB
1, 34 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 43 %, 20 %, 5147 MiB
1, 37 %, 19 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 32 %, 18 %, 5147 MiB
1, 50 %, 25 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 57 %, 29 %, 5147 MiB
1, 69 %, 37 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 70 %, 37 %, 5147 MiB
1, 66 %, 35 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 75 %, 35 %, 5147 MiB
1, 56 %, 32 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 31 %, 5147 MiB
1, 42 %, 24 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 74 %, 35 %, 5147 MiB
1, 55 %, 33 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 60 %, 31 %, 5147 MiB
1, 36 %, 20 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 32 %, 18 %, 5147 MiB
1, 56 %, 29 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 51 %, 25 %, 5147 MiB
1, 73 %, 37 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 73 %, 37 %, 5147 MiB
1, 62 %, 34 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 32 %, 5147 MiB
1, 46 %, 25 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 43 %, 23 %, 5147 MiB
1, 40 %, 21 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 48 %, 25 %, 5147 MiB
1, 62 %, 31 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 34 %, 19 %, 5147 MiB
1, 51 %, 25 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 59 %, 29 %, 5147 MiB
1, 67 %, 35 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 70 %, 35 %, 5147 MiB
1, 54 %, 32 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 60 %, 34 %, 5147 MiB
1, 31 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 31 %, 18 %, 5147 MiB
1, 54 %, 28 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 51 %, 25 %, 5147 MiB
1, 75 %, 36 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 73 %, 36 %, 5147 MiB
1, 57 %, 32 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 34 %, 5147 MiB
1, 35 %, 19 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 37 %, 19 %, 5147 MiB
1, 50 %, 26 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 49 %, 28 %, 5147 MiB
1, 32 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 34 %, 18 %, 5147 MiB
1, 56 %, 28 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 59 %, 29 %, 5147 MiB
1, 68 %, 35 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 70 %, 35 %, 5147 MiB
1, 56 %, 33 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 54 %, 30 %, 5147 MiB
1, 31 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 31 %, 18 %, 5147 MiB
1, 55 %, 28 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 55 %, 27 %, 5147 MiB
1, 70 %, 36 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 71 %, 35 %, 5147 MiB
1, 57 %, 33 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 39 %, 20 %, 5147 MiB
1, 7 %, 3 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 33 %, 5147 MiB
1, 43 %, 22 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 48 %, 27 %, 5147 MiB
1, 32 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 31 %, 18 %, 5147 MiB
1, 56 %, 29 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 51 %, 26 %, 5147 MiB
1, 66 %, 34 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 56 %, 28 %, 5147 MiB
1, 72 %, 35 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 71 %, 35 %, 5147 MiB
1, 56 %, 30 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 32 %, 5147 MiB
1, 42 %, 22 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 51 %, 29 %, 5147 MiB
1, 32 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 66 %, 34 %, 5147 MiB
1, 48 %, 26 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 55 %, 31 %, 5147 MiB
1, 31 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 32 %, 18 %, 5147 MiB
1, 52 %, 27 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 57 %, 29 %, 5147 MiB
1, 71 %, 37 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 72 %, 36 %, 5147 MiB
1, 56 %, 31 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 33 %, 5147 MiB
1, 40 %, 23 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 42 %, 23 %, 5147 MiB
1, 38 %, 20 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 32 %, 18 %, 5147 MiB
1, 56 %, 31 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 55 %, 28 %, 5147 MiB
1, 43 %, 22 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 57 %, 30 %, 5147 MiB
1, 25 %, 15 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 71 %, 36 %, 5147 MiB
1, 42 %, 22 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 33 %, 5147 MiB
1, 58 %, 29 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 39 %, 20 %, 5147 MiB
1, 67 %, 35 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 50 %, 26 %, 5147 MiB
1, 53 %, 31 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 65 %, 34 %, 5147 MiB
1, 32 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 69 %, 35 %, 5147 MiB
1, 58 %, 30 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 54 %, 30 %, 5147 MiB
1, 70 %, 36 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 13 %, 9 %, 5147 MiB
1, 60 %, 33 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 38 %, 20 %, 5147 MiB
1, 71 %, 35 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 35 %, 19 %, 5147 MiB
1, 57 %, 31 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 51 %, 25 %, 5147 MiB
1, 43 %, 23 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 63 %, 33 %, 5147 MiB
1, 31 %, 18 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 70 %, 35 %, 5147 MiB
1, 49 %, 25 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 34 %, 5147 MiB
1, 59 %, 29 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 45 %, 25 %, 5147 MiB
1, 72 %, 35 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 32 %, 18 %, 5147 MiB
1, 60 %, 31 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 34 %, 19 %, 5147 MiB
1, 57 %, 30 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 52 %, 26 %, 5147 MiB
1, 42 %, 22 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 70 %, 36 %, 5147 MiB
1, 35 %, 19 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 61 %, 33 %, 5147 MiB
1, 58 %, 29 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 50 %, 28 %, 5147 MiB
1, 72 %, 36 %, 5107 MiB
2, 0 %, 0 %, 0 MiB
3, 0 %, 0 %, 0 MiB
0, 34 %, 19 %, 5147 MiB
1, 58 %, 32 %, 5107 MiB
