procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 117029680  93408 13593680    0    0     7     1    4   11  0  0 100  0  0
 1  0      0 116853112  93408 13593688    0    0     0     0 1200 1322  2  0 97  0  0
 1  0      0 116807248  93408 13593692    0    0     0     0  998 1370  2  0 98  0  0
 1  0      0 116754080  93420 13593700    0    0     0   480 1093 1490  2  0 98  0  0
 1  0      0 116544528  93428 13775800    0    0 181944   108  803  534  1  0 98  0  0
 1  0      0 116390704  93428 13776060    0    0     4     0  345  257  1  1 98  0  0
 2  0      0 116240464  93428 13776060    0    0     0     0  805  309  1  0 98  0  0
 2  0      0 115850016  93428 13917912    0    0     0     0 1366 1141  2  1 97  0  0
 2  0      0 115376128  93428 14186724    0    0   268     0 1402  677  2  1 97  0  0
 1  0      0 115376064  93432 14186160    0    0     0   120  740  750  2  1 98  0  0
 2  0      0 115372432  93432 14186780    0    0     0    64  927  772  2  1 97  0  0
 1  0      0 115321824  93432 14239740    0    0     0     0  632  618  2  1 98  0  0
 1  0      0 115375096  93432 14186104    0    0     0     0  750  737  2  1 98  0  0
 2  0      0 115374832  93432 14186504    0    0     0     0  791  746  2  1 97  0  0
 2  0      0 115299184  93432 14261520    0    0     0   120  840  804  2  1 98  0  0
 1  0      0 115374632  93432 14186196    0    0     0     0  663  652  2  1 98  0  0
 1  0      0 115374736  93432 14186192    0    0     0     0  860  711  2  1 97  0  0
 1  0      0 115363936  93432 14197600    0    0     0     0  717  718  2  1 98  0  0
 1  0      0 115370608  93432 14186792    0    0     0     0  916  785  2  1 97  0  0
 1  0      0 115358584  93436 14199972    0    0     0    12  774  766  2  1 98  0  0
 1  0      0 115332808  93436 14225028    0    0     0     0  782  712  2  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 115307208  93436 14250196    0    0     0     0  741  718  2  1 97  0  0
 1  0      0 115317136  93436 14240516    0    0     0     0  823  781  2  1 98  0  0
 1  0      0 115337592  93436 14220640    0    0     0     0  802  774  2  1 97  0  0
 1  0      0 115371888  93440 14187276    0    0     0    12  796  698  2  1 98  0  0
 1  0      0 115371824  93440 14186632    0    0     0     4  745  735  2  1 98  0  0
 2  0      0 115298560  93440 14258308    0    0     0     0  900  800  2  1 97  0  0
 1  0      0 115332064  93440 14224868    0    0     0     0  652  610  2  1 98  0  0
 2  0      0 115369728  93440 14186632    0    0     0     0  910  748  2  1 97  0  0
 1  0      0 115370048  93440 14186672    0    0     0    32  786  740  2  1 97  0  0
 2  0      0 115371728  93440 14186080    0    0     0    60 1096  834  2  1 98  0  0
 2  0      0 115297216  93440 14261744    0    0     0    72  978  734  2  1 98  0  0
 1  0      0 115298592  93440 14259488    0    0     0     0 1059  726  2  1 98  0  0
 2  0      0 115296928  93440 14261336    0    0     0     0  961  868  2  1 98  0  0
 1  0      0 115369600  93448 14188764    0    0     0   108  863  689  2  1 97  0  0
 1  0      0 115372224  93448 14186068    0    0     0    16  694  733  2  1 98  0  0
