procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 114264328  93776 16357304    0    0     8     1    4   11  0  0 100  0  0
 1  0      0 114096848  93776 16357312    0    0     0   208 1487 1392  3  0 97  0  0
 1  0      0 114049472  93776 16357312    0    0     0     0  967 1293  2  0 98  0  0
 1  0      0 113995800  93788 16357324    0    0     0   244  948 1399  2  0 98  0  0
 1  0      0 113946952  93788 16357336    0    0     0   112  734  535  1  0 98  0  0
 1  0      0 113613712  93788 16357336    0    0     0     0  363  297  1  0 98  0  0
 1  0      0 113528032  93788 16357340    0    0     0     0  432  178  2  0 98  0  0
 1  0      0 113318816  93788 16365592    0    0     0    88 2415  957  2  1 97  0  0
 1  0      0 112674656  93788 16567928    0    0     0     0 6686 11372  1  1 97  0  0
 2  0      0 112461920  93788 16568420    0    0     0   132 1911 3934  2  1 97  0  0
 2  0      0 112461896  93788 16567992    0    0     0     0 1118 4994  3  0 97  0  0
 2  0      0 112461152  93788 16567984    0    0     0     0  997 3719  3  0 97  0  0
 1  0      0 112461208  93788 16567992    0    0     0     0 1022 4063  3  0 97  0  0
 2  0      0 112460968  93788 16567992    0    0     0     0  908 4279  3  0 97  0  0
 2  0      0 112460976  93788 16567992    0    0     0   136 1134 4810  3  0 97  0  0
 2  0      0 112457712  93788 16570404    0    0     0     0  937 3938  3  0 97  0  0
 1  0      0 112457728  93788 16568104    0    0     0     0 1045 4315  2  0 97  0  0
 1  0      0 112457088  93788 16568472    0    0     0     0  924 3885  3  0 97  0  0
 1  0      0 112439440  93788 16586876    0    0     0     0  932 3725  3  0 97  0  0
 2  0      0 112455872  93792 16568064    0    0     0    12 1050 5147  3  0 97  0  0
 2  0      0 112456104  93792 16568048    0    0     0     0 1096 4086  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 112456368  93792 16568056    0    0     0     0  882 3864  3  0 97  0  0
 1  0      0 112456144  93792 16568484    0    0     0     0 1109 4267  3  0 97  0  0
 1  0      0 112456648  93792 16568056    0    0     0     0  952 4140  3  0 97  0  0
 2  0      0 112456456  93796 16568056    0    0     0    12 1301 5206  3  0 97  0  0
 1  0      0 112456216  93796 16568048    0    0     0     8  998 4496  3  0 97  0  0
 2  0      0 112438080  93796 16586444    0    0     0     0 1002 3888  3  0 97  0  0
 1  0      0 112455992  93796 16568056    0    0     0     0 1050 4044  3  0 97  0  0
 2  0      0 112455768  93796 16568056    0    0     0     0 1169 4818  3  0 97  0  0
 2  0      0 112455280  93796 16568056    0    0     0    20 1020 3397  3  0 97  0  0
 2  0      0 112454560  93796 16568064    0    0     0    56 1107 4905  3  0 97  0  0
 2  0      0 112456960  93796 16568452    0    0     0     0  911 4041  3  0 97  0  0
 1  0      0 112457232  93796 16568436    0    0     0     0 1112 4125  3  0 97  0  0
 2  0      0 112458048  93796 16567676    0    0     0     0  946 4052  3  0 97  0  0
 2  0      0 112456064  93800 16568040    0    0     0    40 1136 5259  3  0 97  0  0
 2  0      0 112455616  93800 16568412    0    0     0    16  860 3772  3  0 97  0  0
 2  0      0 112457424  93800 16568008    0    0     0     0 1128 3956  3  0 97  0  0
 1  0      0 112456832  93800 16568372    0    0     0     0 1114 4273  3  0 97  0  0
 2  0      0 112457600  93800 16568056    0    0     0     0 1021 4104  3  0 97  0  0
 2  0      0 112458000  93804 16568428    0    0     0   172 1015 4903  3  0 97  0  0
 1  0      0 112459024  93804 16567580    0    0     0     0 1059 4292  3  0 97  0  0
 1  0      0 112455576  93804 16568380    0    0     0     0  902 3817  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 112447296  93804 16577708    0    0     0     0 1030 3637  3  0 97  0  0
 1  0      0 112438824  93804 16586868    0    0     0     0  932 4044  3  0 97  0  0
 2  0      0 112457592  93812 16567716    0    0     0    24 1094 4600  3  0 97  0  0
 1  0      0 112457664  93812 16568080    0    0     0     0 1027 4399  3  0 97  0  0
 1  0      0 112458752  93812 16567688    0    0     0     0  999 4195  3  0 97  0  0
 1  0      0 112458088  93812 16568240    0    0     0   144  991 4008  3  0 97  0  0
